post_title,post_excerpt,post_status,post_parent,menu_order,post_date,discount_type,coupon_amount,free_shipping,expiry_date,minimum_amount,maximum_amount,individual_use,exclude_sale_items,product_ids,exclude_product_ids,product_categories,exclude_product_categories,customer_email,usage_limit,usage_limit_per_user,limit_usage_to_x_items,sc_coupon_validity,validity_suffix,auto_generate_coupon,coupon_title_prefix,coupon_title_suffix,is_pick_price_of_product,sc_disable_email_restriction,sc_is_visible_storewide
"007015b5aa75eb194d00711","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","00711","yes","no","no"
"007015b5aa75eb19ca00711","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","00711","yes","no","no"
"007015b5aa75eb1a2c00711","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","00711","yes","no","no"
"007015b5aa75eb1a8200711","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","00711","yes","no","no"
"007015b5aa75eb1ade00711","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","00711","yes","no","no"
"007015b5aa75eb1b3c00711","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","00711","yes","no","no"
"007015b5aa75eb1b9400711","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","00711","yes","no","no"
"007015b5aa75eb1beb00711","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","00711","yes","no","no"
"007015b5aa75eb1c4300711","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","00711","yes","no","no"
"007015b5aa75eb1c9a00711","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","00711","yes","no","no"
