post_title,post_excerpt,post_status,post_parent,menu_order,post_date,discount_type,coupon_amount,free_shipping,expiry_date,minimum_amount,maximum_amount,individual_use,exclude_sale_items,product_ids,exclude_product_ids,product_categories,exclude_product_categories,customer_email,usage_limit,usage_limit_per_user,limit_usage_to_x_items,sc_coupon_validity,validity_suffix,auto_generate_coupon,coupon_title_prefix,coupon_title_suffix,is_pick_price_of_product,sc_disable_email_restriction,sc_is_visible_storewide
"5b5aa6c63bebd","","publish","","","","Cart Discount","10","no","","","","no","no","","","","","","","","","","days","","","","yes","no","no"
"5b5aa6c63bf47","","publish","","","","Cart Discount","10","no","","","","no","no","","","","","","","","","","days","","","","yes","no","no"
"5b5aa6c63bfb1","","publish","","","","Cart Discount","10","no","","","","no","no","","","","","","","","","","days","","","","yes","no","no"
"5b5aa6c63c017","","publish","","","","Cart Discount","10","no","","","","no","no","","","","","","","","","","days","","","","yes","no","no"
"5b5aa6c63c07d","","publish","","","","Cart Discount","10","no","","","","no","no","","","","","","","","","","days","","","","yes","no","no"
"5b5aa6c63c0e9","","publish","","","","Cart Discount","10","no","","","","no","no","","","","","","","","","","days","","","","yes","no","no"
"5b5aa6c63c151","","publish","","","","Cart Discount","10","no","","","","no","no","","","","","","","","","","days","","","","yes","no","no"
"5b5aa6c63c774","","publish","","","","Cart Discount","10","no","","","","no","no","","","","","","","","","","days","","","","yes","no","no"
"5b5aa6c63c7e0","","publish","","","","Cart Discount","10","no","","","","no","no","","","","","","","","","","days","","","","yes","no","no"
"5b5aa6c63c847","","publish","","","","Cart Discount","10","no","","","","no","no","","","","","","","","","","days","","","","yes","no","no"
